,bucket_en_entier,bucket,ID,Sex,Good sex prediction,age,Age predicted
10358,7,"(45, 65]",10359.0,1.0,1.0,56.0,3.0
12227,6,"(40, 45]",12228.0,1.0,1.0,43.0,1.0
19120,7,"(45, 65]",19121.0,0.0,1.0,61.0,3.0
37547,4,"(30, 35]",37548.0,1.0,1.0,32.0,2.0
13441,3,"(25, 30]",13442.0,1.0,1.0,29.0,1.0
5985,7,"(45, 65]",5986.0,0.0,0.0,53.0,1.0
1224,7,"(45, 65]",1225.0,1.0,1.0,55.0,1.0
37153,7,"(45, 65]",37154.0,0.0,0.0,57.0,3.0
25611,7,"(45, 65]",25612.0,1.0,1.0,51.0,3.0
35816,5,"(35, 40]",35817.0,0.0,1.0,39.0,1.0
25862,6,"(40, 45]",25863.0,1.0,0.0,44.0,2.0
11204,7,"(45, 65]",11205.0,1.0,1.0,61.0,1.0
34168,5,"(35, 40]",34169.0,0.0,0.0,38.0,3.0
16247,3,"(25, 30]",16248.0,0.0,0.0,29.0,1.0
10621,3,"(25, 30]",10622.0,0.0,1.0,28.0,2.0
588,3,"(25, 30]",589.0,0.0,1.0,29.0,2.0
38965,3,"(25, 30]",38966.0,1.0,1.0,30.0,1.0
5645,5,"(35, 40]",5646.0,0.0,1.0,39.0,3.0
19359,7,"(45, 65]",19360.0,0.0,1.0,48.0,1.0
36572,5,"(35, 40]",36573.0,1.0,1.0,37.0,2.0
3835,9,"(70, 150]",3836.0,1.0,0.0,76.0,1.0
37066,7,"(45, 65]",37067.0,0.0,0.0,63.0,2.0
11678,7,"(45, 65]",11679.0,1.0,0.0,60.0,2.0
33283,5,"(35, 40]",33284.0,0.0,1.0,37.0,1.0
25924,2,"(20, 25]",25925.0,0.0,1.0,24.0,2.0
32091,2,"(20, 25]",32092.0,0.0,0.0,23.0,2.0
6470,4,"(30, 35]",6471.0,1.0,1.0,34.0,3.0
19576,8,"(65, 70]",19577.0,0.0,0.0,70.0,1.0
6149,7,"(45, 65]",6150.0,1.0,1.0,59.0,2.0
24114,7,"(45, 65]",24115.0,0.0,1.0,53.0,1.0
35025,7,"(45, 65]",35026.0,1.0,1.0,46.0,1.0
19156,7,"(45, 65]",19157.0,0.0,0.0,48.0,3.0
7770,7,"(45, 65]",7771.0,0.0,0.0,62.0,1.0
25590,2,"(20, 25]",25591.0,0.0,0.0,22.0,3.0
32626,4,"(30, 35]",32627.0,1.0,1.0,35.0,2.0
9248,8,"(65, 70]",9249.0,1.0,1.0,66.0,3.0
28084,7,"(45, 65]",28085.0,0.0,1.0,54.0,1.0
12553,2,"(20, 25]",12554.0,0.0,0.0,23.0,2.0
27806,7,"(45, 65]",27807.0,0.0,1.0,51.0,0.0
2102,7,"(45, 65]",2103.0,1.0,0.0,52.0,3.0
28990,7,"(45, 65]",28991.0,1.0,1.0,51.0,1.0
9330,7,"(45, 65]",9331.0,1.0,1.0,49.0,3.0
9853,7,"(45, 65]",9854.0,1.0,1.0,52.0,3.0
29274,6,"(40, 45]",29275.0,0.0,1.0,44.0,1.0
13152,6,"(40, 45]",13153.0,1.0,1.0,41.0,1.0
5170,4,"(30, 35]",5171.0,0.0,1.0,34.0,2.0
10923,8,"(65, 70]",10924.0,1.0,1.0,69.0,1.0
4362,6,"(40, 45]",4363.0,1.0,1.0,43.0,2.0
31746,4,"(30, 35]",31747.0,1.0,0.0,31.0,2.0
7042,3,"(25, 30]",7043.0,0.0,1.0,30.0,1.0
3172,8,"(65, 70]",3173.0,0.0,0.0,66.0,3.0
29859,3,"(25, 30]",29860.0,0.0,0.0,27.0,1.0
15544,6,"(40, 45]",15545.0,1.0,1.0,44.0,1.0
31142,8,"(65, 70]",31143.0,1.0,1.0,68.0,2.0
7015,4,"(30, 35]",7016.0,0.0,1.0,31.0,1.0
17570,2,"(20, 25]",17571.0,1.0,1.0,24.0,2.0
9471,7,"(45, 65]",9472.0,1.0,1.0,53.0,1.0
8886,6,"(40, 45]",8887.0,0.0,0.0,42.0,3.0
16237,7,"(45, 65]",16238.0,0.0,0.0,63.0,1.0
3354,5,"(35, 40]",3355.0,0.0,1.0,37.0,3.0
18476,7,"(45, 65]",18477.0,0.0,0.0,54.0,1.0
10770,7,"(45, 65]",10771.0,0.0,1.0,50.0,3.0
27431,5,"(35, 40]",27432.0,1.0,1.0,39.0,2.0
16733,2,"(20, 25]",16734.0,1.0,1.0,24.0,1.0
26038,7,"(45, 65]",26039.0,0.0,0.0,59.0,2.0
24863,4,"(30, 35]",24864.0,0.0,1.0,33.0,1.0
5969,8,"(65, 70]",5970.0,1.0,1.0,66.0,3.0
8918,8,"(65, 70]",8919.0,0.0,1.0,68.0,2.0
32449,7,"(45, 65]",32450.0,0.0,0.0,50.0,1.0
31941,7,"(45, 65]",31942.0,0.0,0.0,50.0,3.0
32256,2,"(20, 25]",32257.0,0.0,1.0,25.0,1.0
4768,7,"(45, 65]",4769.0,1.0,1.0,59.0,1.0
21480,8,"(65, 70]",21481.0,1.0,1.0,67.0,1.0
4353,7,"(45, 65]",4354.0,1.0,1.0,63.0,1.0
18985,6,"(40, 45]",18986.0,0.0,1.0,44.0,1.0
3096,7,"(45, 65]",3097.0,0.0,0.0,54.0,1.0
6179,5,"(35, 40]",6180.0,1.0,0.0,36.0,2.0
39042,7,"(45, 65]",39043.0,0.0,0.0,49.0,1.0
16889,7,"(45, 65]",16890.0,1.0,1.0,56.0,1.0
1171,7,"(45, 65]",1172.0,0.0,0.0,52.0,1.0
18847,7,"(45, 65]",18848.0,1.0,1.0,57.0,3.0
28483,7,"(45, 65]",28484.0,1.0,1.0,49.0,2.0
30753,5,"(35, 40]",30754.0,0.0,0.0,40.0,1.0
3804,4,"(30, 35]",3805.0,0.0,1.0,33.0,3.0
2052,7,"(45, 65]",2053.0,1.0,1.0,52.0,2.0
31595,9,"(70, 150]",31596.0,1.0,1.0,72.0,1.0
5831,5,"(35, 40]",5832.0,1.0,0.0,36.0,3.0
15205,7,"(45, 65]",15206.0,0.0,0.0,48.0,3.0
163,7,"(45, 65]",164.0,0.0,0.0,52.0,1.0
793,7,"(45, 65]",794.0,1.0,1.0,47.0,1.0
6733,7,"(45, 65]",6734.0,1.0,1.0,65.0,1.0
15351,7,"(45, 65]",15352.0,1.0,1.0,46.0,1.0
19604,7,"(45, 65]",19605.0,0.0,1.0,47.0,2.0
12450,5,"(35, 40]",12451.0,0.0,1.0,36.0,2.0
1244,4,"(30, 35]",1245.0,0.0,1.0,31.0,2.0
29455,4,"(30, 35]",29456.0,0.0,0.0,31.0,1.0
24071,7,"(45, 65]",24072.0,1.0,1.0,57.0,1.0
24177,0,"(14, 18]",24178.0,1.0,1.0,18.0,1.0
1424,8,"(65, 70]",1425.0,1.0,1.0,66.0,1.0
36459,7,"(45, 65]",36460.0,1.0,0.0,56.0,1.0
834,7,"(45, 65]",835.0,0.0,1.0,55.0,1.0
25675,4,"(30, 35]",25676.0,0.0,1.0,35.0,2.0
31949,4,"(30, 35]",31950.0,0.0,0.0,32.0,1.0
37234,5,"(35, 40]",37235.0,1.0,1.0,39.0,3.0
19924,4,"(30, 35]",19925.0,0.0,0.0,35.0,1.0
20822,7,"(45, 65]",20823.0,1.0,1.0,59.0,1.0
2188,5,"(35, 40]",2189.0,1.0,1.0,40.0,3.0
11257,7,"(45, 65]",11258.0,0.0,0.0,46.0,1.0
23874,3,"(25, 30]",23875.0,0.0,0.0,30.0,0.0
14019,5,"(35, 40]",14020.0,0.0,1.0,36.0,2.0
34571,6,"(40, 45]",34572.0,1.0,1.0,45.0,1.0
17477,6,"(40, 45]",17478.0,0.0,0.0,42.0,1.0
16139,7,"(45, 65]",16140.0,0.0,0.0,63.0,1.0
7113,7,"(45, 65]",7114.0,1.0,1.0,61.0,1.0
35835,3,"(25, 30]",35836.0,1.0,1.0,29.0,1.0
15212,5,"(35, 40]",15213.0,1.0,1.0,38.0,1.0
25972,7,"(45, 65]",25973.0,0.0,0.0,55.0,3.0
10023,4,"(30, 35]",10024.0,0.0,0.0,34.0,3.0
34360,7,"(45, 65]",34361.0,1.0,1.0,47.0,1.0
11277,2,"(20, 25]",11278.0,0.0,0.0,24.0,1.0
29457,5,"(35, 40]",29458.0,0.0,1.0,36.0,3.0
27464,5,"(35, 40]",27465.0,1.0,0.0,36.0,1.0
20876,3,"(25, 30]",20877.0,0.0,1.0,29.0,2.0
5025,5,"(35, 40]",5026.0,0.0,0.0,37.0,3.0
15855,5,"(35, 40]",15856.0,1.0,1.0,36.0,3.0
27241,7,"(45, 65]",27242.0,1.0,1.0,50.0,1.0
8729,3,"(25, 30]",8730.0,0.0,1.0,26.0,2.0
19631,8,"(65, 70]",19632.0,1.0,1.0,69.0,2.0
14176,7,"(45, 65]",14177.0,1.0,1.0,56.0,2.0
1902,4,"(30, 35]",1903.0,0.0,1.0,33.0,1.0
38697,3,"(25, 30]",38698.0,1.0,1.0,28.0,1.0
18731,5,"(35, 40]",18732.0,1.0,1.0,39.0,2.0
12381,2,"(20, 25]",12382.0,0.0,0.0,25.0,1.0
33771,7,"(45, 65]",33772.0,1.0,1.0,57.0,1.0
1386,4,"(30, 35]",1387.0,0.0,1.0,31.0,3.0
5403,7,"(45, 65]",5404.0,1.0,1.0,51.0,2.0
1834,6,"(40, 45]",1835.0,0.0,0.0,44.0,1.0
20057,5,"(35, 40]",20058.0,0.0,1.0,38.0,2.0
36320,7,"(45, 65]",36321.0,1.0,1.0,55.0,1.0
8148,7,"(45, 65]",8149.0,0.0,1.0,61.0,1.0
